,link,Notebook neve,Raktáron,Ár,Régi Ár,Akciós Ár,Processzor leírás,Operációs rendszer,Memória,Háttértár,Grafikus vezérlő,Kijelző,Képfrissítés,Fényerő,LAN típus,Wi-Fi,Bluetooth,HDMI normál,USB 3.1,USB3.1 Type-C,Thunderbolt támogatás,Lighting csatlakozó,Optikai meghajtó,Billentyűzet,Audio leírás,Akkumulátor leírás,Méret,Súly,Garancia,Webkamera,USB 2.0,USB 3.0,Kártya olvasó,Extrák,További extrák,USB3.0 Type-C,Displayport mini,Érintő kijelző,HSDPA,VGA
229,https://www.notebook.hu/lenovo-thinkpad-l14-gen1-20u1000whv-282879,"
LENOVO ThinkPad L14 Gen1 (20U1000WHV) Fekete
",Raktáron,429 900 Ft,,,"Intel® Core™ i5-10210U Processor (6M Cache, up to 4.10)",Microsoft Windows 10 Professional,8GB DDR4 2666MHz RAM,256GB M.2 PCIe SSD,Intel® UHD Graphics,"14"" FullHD (1920 x 1080) matt Multi-Touch IPS LCD",60 Hz,250 nit,1000Mbps,802.11 ax,v 5.2,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","HD Audio, Realtek ALC3287 codec, Dolby Audio, beépített hangszórók (2x2W) + dual tömbmikrofon",45Whr beépített,331.00x235.00x20.40 mm,1.61 kg,36 hónap,720p + IR with ThinkShutter beépített webkamera,,2 db,microSD,"Ujjlenyomat olvasó, TPM chip","SmartCard olvasó, WWAN Ready",1 db,,Multi-Touch,Előkészített,
230,https://www.notebook.hu/asus-rog-zephyrus-g14-ga401iv-ga401iv-ha323t-294456,"
Asus ROG Zephyrus G14 GA401IV (GA401IV-HA323T) Szürke
",Raktáron,,Régi ár: 729 900 Ft,679 900 Ft,"AMD® Ryzen™ 9-4900HS 8-magos 3.0 GHz Mobile APU (8M Cache, up to 4.3 GHz)",Microsoft Windows 10 Home,32GB DDR4 3200MHz RAM (2x16GB),1TB M.2 PCIe SSD,NVIDIA® GeForce™ RTX 2060 6GB GDDR6 (MaxQ Design),"14"" QHD (2560 x 1440) WideView matt LCD",60 Hz,300 nit,,802.11 ax,v 5,1 db,,2 db,Nem,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","2 db 2,5 W-os hangszóró Okos erősítő technológiával;  2 db 0,7 W tweeterrel, Array mikrofonnal; Dolby Atmos technológiával",4 cellás 76Whr beépített,324.00x220.00x19.90 mm,1.60 kg,36 hónap,Nincs webkamera,,2 db,,VR Ready,AniMe Matrix hátlap,,,,,
231,https://www.notebook.hu/acer-swift-3-ultrabook-sf314-59-36b7-nx-a0meu-001-285969,"
Acer Swift 3 Ultrabook SF314-59-36B7 (NX.A0MEU.001) ezüst
",Raktáron,259 900 Ft,,,"Intel® Core™ i3-1115G4 Processor (6M Cache, up to 4.10 GHz)",Operációs rendszer nélkül,8GB DDR4 2666MHz RAM,256GB M.2 PCIe SSD,Intel® UHD Graphics for 11th Gen Intel® Processors,"14"" FullHD (1920 x 1080) Acer Comfyview IPS LCD",,,,802.11 ax,v 5,1 db,,,Igen,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","Acer Trueharmony sztereó hangrendszer, 1 db fejhallgató/hangszóró kombinált kimenet",3 cellás 48Whr beépített,319.50x217.00x15.95 mm,1.19 kg,36 hónap,Acer Crystal Eye S-HDR Webkamera + Mikrofon,1 db,1 db,,Ujjlenyomat olvasó,,1 db,,,,
232,https://www.notebook.hu/lenovo-ideapad-3-15iil05-81we006xhv-280047,"
LENOVO IdeaPad 3-15IIL05 (81WE006XHV) Platinum szürke
",Raktáron,249 900 Ft,,,"Intel® Core™ i3-1005G1 Processor (4M Cache, Up to 3.40)",Microsoft Windows 10 Home,8GB DDR4 2666MHz RAM (2x4GB),256GB M.2 PCIe SSD,Intel® UHD Graphics,"15.6"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,220 nit,,802.11 ax,v 5,1 db,,,Nem,Nem,USB (vásárolható),Magyar kiosztású,"HD Audio, Dolby Audio, STEREO hangszórók (2db 1.5W), Dual Tömbmikrofon",2 cellás 35Whr beépített,362.20x253.40x19.99 mm,1.85 kg,36 hónap,VGA Webkamera (beépített),1 db,2 db,"MMC, SD, SDHX, SDXC",TPM chip,,,,,,
233,https://www.notebook.hu/dell-latitude-15-3510-n011l351015emea-279579,"
DELL Latitude 15 3510 (N011L351015EMEA) Szürke
",Raktáron,,Régi ár: 411 900 Ft,339 900 Ft,"Intel® Core™ i5-10210U Processor (6M Cache, up to 4.10)",Microsoft Windows 10 Professional,8GB DDR4 2666MHz RAM (1x8GB),256GB M.2 PCIe SSD,Intel® UHD Graphics,"15.6"" FullHD (1920 x 1080) matt WVA LCD",60 Hz,220 nit,1000Mbps,802.11 ax,v 5,1 db,,,Nem,Nem,USB (vásárolható),Magyar kiosztású,Beépített hangszórók (2db 2W),4 cellás 53Whr beépített,361.40x247.85x17.97 mm,1.91 kg,36 hónap,HD Webkamera (beépített),1 db,2 db,microSD,Ujjlenyomat olvasó,,1 db,,,,
234,https://www.notebook.hu/lenovo-thinkpad-t15-gen1-t-20s6000shv,"
LENOVO ThinkPad T15 Gen1 (20S6000SHV) Fekete
",Raktáron,628 900 Ft,,,"Intel® Core™ i5-10210U Processor (6M Cache, up to 4.10)",Microsoft Windows 10 Professional,8GB DDR4 2666MHz RAM,256 GB M.2 PCIe NVMe 2280 SSD,Intel® UHD Graphics,"15.6"" FullHD (1920 x 1080) matt IPS LCD",,250 nit,1000Mbps,802.11 ax,v 5,1 db,2 db,2 db,Igen,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","Dolby Audio™ hangszórórendszer, Dupla széles hatósugarú mikrofonok",3 cellás 57Whr beépített,365.80x248.00x19.10 mm,1.18 kg,36 hónap,Hibrid infravörös (IR) és HD 720p Webkamera ThinkShutter fedéllel,,,microSD,"Ujjlenyomat olvasó, TPM chip","WWAN Upgradable, Smart Card kártyaolvasó",,,,,
235,https://www.notebook.hu/asus-zenbook-13-ux325-ux325ea-eg117t-287612,"
Asus ZenBook 13 UX325 (UX325EA-EG117T) Fenyőszürke
",Raktáron,449 900 Ft,,,"Intel® Core™ i7-1165G7 Processor (12M Cache, up to 4.70 GHz, with IPU)",Microsoft Windows 10 Home,16GB LPDDR4X RAM,512GB M.2 PCIe SSD,Intel® Iris® Xe Graphics,"13.3"" FullHD (1920 x 1080) WVA matt LCD",60 Hz,300 nit,,802.11 ax,v 5,1 db,,2 db,Igen,Nem,USB (vásárolható),"Világítás, Nincs numpad, Magyar kiosztású","Smart Amp Technology, Beépített hangszórók, Harman/Kardon minősítés + Tömbmikrofon",4 cellás 67Whr beépített,304.00x203.00x13.90 mm,1.15 kg,36 hónap,"HD IR Webkamera, Windows Hallo támogatással",,1 db,microSD,TPM chip,"NumberPad támogatás, US MIL-STD 810G minősítés",,,,,
236,https://www.notebook.hu/lenovo-thinkbook-15-g2-itl-20ve0055hv,"
LENOVO ThinkBook 15 G2 ITL (20VE0055HV) Ásványszürke
",Raktáron,319 900 Ft,,,"Intel® Core™  i5-1135G7 Processor (8M Cache, up to 4.20 GHz)",Operációs rendszer nélkül,8GB DDR4 3200MHz RAM,256GB SSD M.2 2242 PCIe 3.0x4 NVMe SSD + 1 db üres M.2 2280 PCIe 3.0x2 SSD Slot,Intel® Iris® Xe Graphics,"15.6"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,250 nit,1000Mbps,802.11 ax,v 5.1,1 db,2 db,2 db,Igen,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, Realtek ALC3287 codec, beépített hangszórók (2db 2W) Dolby Audio + dual tömbmikrofon",3 cellás 45Whr beépített,357.00x235.00x18.90 mm,1.70 kg,36 hónap,HD Webkamera (beépített),,,"MMC, SD, SDHX, SDXC","Ujjlenyomat olvasó, TPM chip",,,,,,
237,https://www.notebook.hu/lenovo-ideapad-5-15itl05-82fg00mjhv,"
Lenovo IdeaPad 5-15ITL05 (82FG00MJHV) Szürke
",Raktáron,399 900 Ft,,,"Intel® Core™ i7-1165G7 Processor (12M Cache, up to 4.70 GHz, with IPU)",Microsoft Windows 10 Home,16GB DDR4 3200MHz RAM,512GB M.2 2242 PCIe 3.0x2 NVMe SSD,Intel® Iris® Xe Graphics,"15.6"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,300 nit,,802.11 ac,v 5,1 db,,1 db,Nem,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","HD Audio, Dolby Audio, 2W x 2 sztereó hangszórók, Dual array mikrofon, fejhallgató / mikrofon combo jack",70Whr beépített,356.67x233.13x19.90 mm,1.66 kg,36 hónap,"HD Webkamera (beépített), Privacy Shutter kamerafedéllel",,2 db,"MMC, SD, SDHX, SDXC",TPM chip,,,,,,
238,https://www.notebook.hu/lenovo-thinkpad-e15-gen2-itu-20td0004hv-288136,"
LENOVO ThinkPad E15 Gen2 ITU (20TD0004HV) Fekete
",Raktáron,,Régi ár: 449 900 Ft,399 900 Ft,"Intel® Core™  i5-1135G7 Processor (8M Cache, up to 4.20 GHz)",Microsoft Windows 10 Professional,8GB DDR4 3200MHz RAM,256GB M.2 PCIe SSD,Intel® Iris® Xe Graphics,"15.6"" FullHD (1920 x 1080) matt IPS LCD",60 Hz,,1000Mbps,802.11 ax,v 5.1,,,1 db,Igen,Nem,USB (vásárolható),"Világítás, Magyar kiosztású","High Definition (HD) Audio, Realtek ALC3287 codec, Beépített hangszórók (2db 2W) Dolby Audio, HARMAN-branded",45Whr beépített,365.00x240.00x18.90 mm,1.70 kg,36 hónap,HD Webkamera (beépített) + ThinkShutter,1 db,1 db,,"Ujjlenyomat olvasó, TPM chip",MIL-STD-810H military test passed,,,,,
